id_funcionario,id_companhia,id_aeroporto_base,nome_completo,cargo,data_nascimento,data_admissao,salario,criado_em,atualizado_em
15,2,62,Bento Câmara,Mecânico,1966-08-22,2022-06-21,13145.66203308965,2022-06-21 00:00:00.000000,2022-09-30 00:00:00.000000
16,5,11,Maria Julia Dias,Comissário,1971-09-11,2017-06-04,8346.68624787922,2017-06-04 00:00:00.000000,2018-03-23 00:00:00.000000
17,7,59,Juan Câmara,Comissário,1989-12-22,2024-12-26,10669.882077734865,2024-12-26 00:00:00.000000,2025-01-25 00:00:00.000000
18,1,67,Ana Cecília Aparecida,Comissário,1973-10-28,2022-10-23,18764.243670027558,2022-10-23 00:00:00.000000,2022-12-25 00:00:00.000000
19,7,12,João Gabriel Almeida,Comissário,1982-05-01,2016-04-18,13710.381709436182,2016-04-18 00:00:00.000000,2016-10-17 00:00:00.000000
20,2,63,Srta. Maria Sophia Vargas,Mecânico,1972-07-23,2025-09-09,7148.40345084143,2025-09-09 00:00:00.000000,2025-11-25 22:51:33.884536
21,7,17,Sr. Bernardo Rodrigues,Comissário,1990-08-18,2023-03-19,8438.417630868493,2023-03-19 00:00:00.000000,2023-11-22 00:00:00.000000
22,5,78,Sr. Davi Miguel Souza,Agente de Solo,1990-08-29,2018-08-16,16786.055595806713,2018-08-16 00:00:00.000000,2019-01-24 00:00:00.000000
23,5,8,Maria Eduarda Camargo,Agente de Solo,1971-10-29,2017-08-06,10299.069571433205,2017-08-06 00:00:00.000000,2018-05-14 00:00:00.000000
24,5,28,Henry Gabriel Melo,Mecânico,1994-10-27,2016-10-29,9605.31737579222,2016-10-29 00:00:00.000000,2017-05-13 00:00:00.000000
25,7,21,Dr. Theodoro Barros,Agente de Solo,1985-03-21,2015-12-16,14838.18956188251,2015-12-16 00:00:00.000000,2016-07-03 00:00:00.000000
26,8,12,Liz Souza,Agente de Solo,1967-03-11,2017-05-23,9862.96242924796,2017-05-23 00:00:00.000000,2018-03-03 00:00:00.000000
27,3,54,Rael Rocha,Comissário,1990-09-28,2022-06-12,17942.605390969158,2022-06-12 00:00:00.000000,2022-12-31 00:00:00.000000
28,7,37,Sra. Ester Cardoso,Comissário,2004-04-02,2019-03-04,21857.084339880163,2019-03-04 00:00:00.000000,2019-10-13 00:00:00.000000
29,1,45,Luiz Otávio Sales,Copiloto,1978-02-11,2023-12-14,8805.982667567141,2023-12-14 00:00:00.000000,2023-12-30 00:00:00.000000
30,4,49,Carlos Eduardo Novaes,Copiloto,2001-04-04,2020-07-30,24591.750723743175,2020-07-30 00:00:00.000000,2020-11-18 00:00:00.000000
31,4,59,Alexandre da Mota,Agente de Solo,1995-05-10,2022-11-05,16136.781742097673,2022-11-05 00:00:00.000000,2023-05-04 00:00:00.000000
32,7,23,Heloisa Cunha,Copiloto,1996-07-04,2025-05-04,21674.42253218502,2025-05-04 00:00:00.000000,2025-08-29 00:00:00.000000
33,8,26,Ana Beatriz Fernandes,Comissário,1977-12-11,2023-11-15,3139.02865335545,2023-11-15 00:00:00.000000,2024-07-20 00:00:00.000000
34,3,10,Yan Pinto,Agente de Solo,1965-07-29,2016-11-29,12437.290825685044,2016-11-29 00:00:00.000000,2017-03-03 00:00:00.000000
35,5,18,Ísis Vieira,Agente de Solo,1997-12-29,2018-06-20,20518.376692381113,2018-06-20 00:00:00.000000,2019-04-12 00:00:00.000000
36,7,30,Aylla Cunha,Comissário,1990-07-07,2022-09-09,20691.087462029147,2022-09-09 00:00:00.000000,2023-03-01 00:00:00.000000
37,7,34,Yasmin Pires,Comissário,2002-06-25,2020-07-28,3199.621212517577,2020-07-28 00:00:00.000000,2021-02-28 00:00:00.000000
38,3,28,Maya Freitas,Agente de Solo,1969-04-27,2020-04-28,18445.579206638467,2020-04-28 00:00:00.000000,2020-08-05 00:00:00.000000
39,5,47,Augusto Andrade,Agente de Solo,1970-03-26,2024-01-08,13002.532959139975,2024-01-08 00:00:00.000000,2024-04-02 00:00:00.000000
40,1,18,Sr. Renan Azevedo,Comissário,1989-02-07,2017-09-09,17734.268473338885,2017-09-09 00:00:00.000000,2017-11-16 00:00:00.000000
41,2,38,Nathan Fonseca,Agente de Solo,1995-01-04,2024-08-18,8749.867595065904,2024-08-18 00:00:00.000000,2025-03-10 00:00:00.000000
42,6,10,Lavínia Carvalho,Mecânico,1973-07-10,2017-11-04,18405.687132577437,2017-11-04 00:00:00.000000,2017-12-24 00:00:00.000000
43,4,56,Sr. Brayan Sousa,Mecânico,1996-11-23,2022-03-04,24283.069087358774,2022-03-04 00:00:00.000000,2022-03-22 00:00:00.000000
44,2,63,Maria Alice Mendes,Comissário,1975-08-09,2019-02-24,9062.321863035715,2019-02-24 00:00:00.000000,2019-04-29 00:00:00.000000
45,5,54,Hellena Castro,Mecânico,1994-04-21,2024-06-21,17512.372762093924,2024-06-21 00:00:00.000000,2024-07-13 00:00:00.000000
46,4,79,Francisco Vasconcelos,Agente de Solo,1977-03-30,2024-01-11,7086.455695728086,2024-01-11 00:00:00.000000,2024-05-29 00:00:00.000000
47,8,61,Thomas Vasconcelos,Comissário,1980-11-30,2023-05-09,24935.279323941595,2023-05-09 00:00:00.000000,2024-01-22 00:00:00.000000
48,2,23,Heloisa Pastor,Comissário,1977-01-19,2021-12-16,13212.414882653899,2021-12-16 00:00:00.000000,2022-10-11 00:00:00.000000
49,4,29,Sr. Luiz Gustavo Nogueira,Mecânico,1965-06-24,2024-05-08,24583.21561417634,2024-05-08 00:00:00.000000,2025-03-02 00:00:00.000000
50,8,29,Letícia Cavalcante,Copiloto,2003-11-27,2022-12-23,17522.722473138718,2022-12-23 00:00:00.000000,2023-07-28 00:00:00.000000
51,8,72,Ravi Lopes,Mecânico,1968-02-29,2020-04-29,12622.065783400132,2020-04-29 00:00:00.000000,2021-02-10 00:00:00.000000
52,1,3,Vitória Fernandes,Copiloto,1992-01-31,2020-07-30,20185.935881877827,2020-07-30 00:00:00.000000,2021-01-20 00:00:00.000000
53,6,51,Gustavo Henrique Campos,Copiloto,2003-03-28,2016-12-10,4907.927003278042,2016-12-10 00:00:00.000000,2017-02-15 00:00:00.000000
54,6,46,Dr. Vitor Hugo Viana,Comissário,1985-05-24,2020-11-02,4409.33958718513,2020-11-02 00:00:00.000000,2021-05-03 00:00:00.000000
55,1,53,Sr. José Albuquerque,Copiloto,1967-09-14,2017-09-17,13189.830670494142,2017-09-17 00:00:00.000000,2018-04-08 00:00:00.000000
56,6,37,João Gabriel Cavalcanti,Comissário,1967-07-03,2023-03-27,11177.607543884333,2023-03-27 00:00:00.000000,2023-11-08 00:00:00.000000
57,8,64,Sara Castro,Comissário,1994-11-14,2017-03-02,3608.069607492278,2017-03-02 00:00:00.000000,2017-11-09 00:00:00.000000
58,1,17,Bento Mendonça,Comissário,1968-01-21,2018-01-06,3986.633392260774,2018-01-06 00:00:00.000000,2018-03-30 00:00:00.000000
59,3,45,Aylla Macedo,Comissário,1969-02-13,2017-10-01,8224.703888944137,2017-10-01 00:00:00.000000,2018-07-11 00:00:00.000000
60,6,72,Dra. Brenda Marques,Agente de Solo,1996-03-11,2019-06-08,16078.67484201445,2019-06-08 00:00:00.000000,2019-10-29 00:00:00.000000
61,8,69,Srta. Beatriz da Cunha,Agente de Solo,1987-02-03,2021-09-01,18466.75242773146,2021-09-01 00:00:00.000000,2022-05-07 00:00:00.000000
62,3,44,Stephany Pacheco,Comissário,1978-03-24,2025-02-18,11260.492714091271,2025-02-18 00:00:00.000000,2025-11-06 00:00:00.000000
63,3,1,Ayla Andrade,Piloto,1980-10-29,2021-05-08,20239.289562901904,2021-05-08 00:00:00.000000,2021-12-01 00:00:00.000000
64,7,27,Enzo Gabriel Pacheco,Piloto,2005-10-26,2024-02-27,13133.366750113148,2024-02-27 00:00:00.000000,2024-09-15 00:00:00.000000
65,2,49,Dr. Benjamim Cardoso,Comissário,1995-05-20,2025-06-17,20686.37765471498,2025-06-17 00:00:00.000000,2025-11-25 22:51:33.886819
66,6,40,Sra. Mirella Nascimento,Agente de Solo,2003-05-25,2022-03-21,5189.675561484644,2022-03-21 00:00:00.000000,2022-03-28 00:00:00.000000
67,5,12,Isis Rios,Agente de Solo,1980-01-15,2018-03-07,3366.3509846759366,2018-03-07 00:00:00.000000,2018-09-26 00:00:00.000000
68,1,12,Mathias Azevedo,Copiloto,1972-12-14,2021-04-29,8934.022183253808,2021-04-29 00:00:00.000000,2022-02-10 00:00:00.000000
69,5,64,Allana Sá,Agente de Solo,1969-11-16,2025-10-17,23643.000639239857,2025-10-17 00:00:00.000000,2025-11-17 00:00:00.000000
70,3,22,Emanuella Correia,Mecânico,1995-06-05,2016-02-04,3666.989785010244,2016-02-04 00:00:00.000000,2016-06-19 00:00:00.000000
71,4,58,Ana Lívia Vargas,Comissário,1977-04-12,2021-09-18,13862.317782476244,2021-09-18 00:00:00.000000,2021-12-01 00:00:00.000000
72,2,73,Ryan Farias,Agente de Solo,1971-09-03,2018-08-15,13220.143998673515,2018-08-15 00:00:00.000000,2018-10-15 00:00:00.000000
73,6,65,Sra. Ana Julia Rios,Comissário,1967-09-24,2022-02-27,18477.292563437382,2022-02-27 00:00:00.000000,2022-09-17 00:00:00.000000
74,2,17,Juliana Abreu,Comissário,1974-03-26,2015-12-15,3654.0205489152645,2015-12-15 00:00:00.000000,2016-03-01 00:00:00.000000
75,4,57,Henry Moreira,Mecânico,1991-05-22,2021-05-31,20933.32114203984,2021-05-31 00:00:00.000000,2022-02-02 00:00:00.000000
76,1,41,Sarah Fogaça,Comissário,1979-06-12,2018-08-08,15729.529956389828,2018-08-08 00:00:00.000000,2018-08-28 00:00:00.000000
77,1,67,Igor da Cunha,Copiloto,1988-06-18,2023-06-19,17067.392480418188,2023-06-19 00:00:00.000000,2024-03-19 00:00:00.000000
78,4,57,Mathias Cirino,Mecânico,1994-10-24,2016-08-07,3276.9969661414934,2016-08-07 00:00:00.000000,2017-06-02 00:00:00.000000
79,4,66,Dr. Théo Silva,Comissário,1988-08-28,2024-08-23,13186.150777627678,2024-08-23 00:00:00.000000,2025-02-11 00:00:00.000000
80,8,39,Diego da Cunha,Comissário,1968-11-19,2023-10-26,24880.57455322352,2023-10-26 00:00:00.000000,2024-03-07 00:00:00.000000
81,1,53,Srta. Nicole Cavalcante,Mecânico,1967-03-12,2025-07-28,13745.49360293246,2025-07-28 00:00:00.000000,2025-11-25 22:51:33.887590
82,4,39,Anna Liz da Luz,Comissário,1965-10-31,2024-08-22,18129.50423460635,2024-08-22 00:00:00.000000,2024-12-10 00:00:00.000000
83,4,72,Maria Sophia Martins,Mecânico,1997-07-06,2025-06-28,4344.636901548412,2025-06-28 00:00:00.000000,2025-11-25 22:51:33.887681
84,5,1,Sr. Lucas Gabriel da Mata,Piloto,1989-12-24,2023-08-31,4275.633096151977,2023-08-31 00:00:00.000000,2024-03-28 00:00:00.000000
85,3,57,Dr. André Ramos,Agente de Solo,1979-12-22,2025-07-15,13014.708144407774,2025-07-15 00:00:00.000000,2025-11-25 22:51:33.887773
86,1,12,Aurora Albuquerque,Agente de Solo,1981-02-26,2019-12-08,18994.804379970337,2019-12-08 00:00:00.000000,2020-09-29 00:00:00.000000
87,7,12,Davi Miguel Fernandes,Copiloto,1979-04-09,2017-12-26,11561.861875369174,2017-12-26 00:00:00.000000,2018-08-22 00:00:00.000000
88,4,36,Guilherme Martins,Comissário,1976-08-24,2017-09-29,10886.699476914051,2017-09-29 00:00:00.000000,2018-05-06 00:00:00.000000
89,3,44,Giovanna Costa,Comissário,1974-06-20,2017-04-10,13285.53568077503,2017-04-10 00:00:00.000000,2017-08-18 00:00:00.000000
90,6,21,Beatriz Novaes,Mecânico,1980-01-13,2021-07-02,19184.410114159225,2021-07-02 00:00:00.000000,2022-02-03 00:00:00.000000
91,2,30,Felipe Farias,Agente de Solo,1994-09-10,2021-10-31,24789.766444971418,2021-10-31 00:00:00.000000,2022-06-26 00:00:00.000000
92,8,47,Gabriel Peixoto,Copiloto,1969-07-31,2016-03-08,12912.350633112137,2016-03-08 00:00:00.000000,2016-11-07 00:00:00.000000
93,5,55,Bento da Paz,Comissário,2000-03-26,2017-08-15,23106.800821015982,2017-08-15 00:00:00.000000,2017-10-09 00:00:00.000000
94,5,43,Jade Vasconcelos,Agente de Solo,2002-05-16,2018-11-02,21996.049127483075,2018-11-02 00:00:00.000000,2018-11-22 00:00:00.000000
95,5,51,Melina Caldeira,Mecânico,1992-09-22,2023-05-07,12301.530306934908,2023-05-07 00:00:00.000000,2023-12-07 00:00:00.000000
96,7,45,Beatriz Casa Grande,Mecânico,1968-10-31,2017-01-26,22015.11792957556,2017-01-26 00:00:00.000000,2017-08-30 00:00:00.000000
97,2,65,Luiz Miguel da Conceição,Comissário,1999-12-21,2020-01-08,13495.085381994757,2020-01-08 00:00:00.000000,2020-04-27 00:00:00.000000
98,2,28,Dr. Enrico Novaes,Comissário,1988-08-24,2020-03-31,14339.382117951533,2020-03-31 00:00:00.000000,2020-04-07 00:00:00.000000
99,5,35,Nina Caldeira,Piloto,2001-11-30,2018-01-09,7469.919330974547,2018-01-09 00:00:00.000000,2018-09-15 00:00:00.000000
100,3,50,Isadora Rodrigues,Comissário,1993-08-17,2019-07-17,16351.359031042746,2019-07-17 00:00:00.000000,2020-02-22 00:00:00.000000
101,8,23,Isaque Brito,Comissário,1971-02-08,2017-05-06,6687.242028602968,2017-05-06 00:00:00.000000,2017-12-12 00:00:00.000000
102,5,67,Bianca Jesus,Comissário,1989-10-08,2020-04-03,24680.324284257178,2020-04-03 00:00:00.000000,2020-04-13 00:00:00.000000
103,7,50,Daniel Barbosa,Comissário,1988-03-25,2017-08-18,6204.557870067785,2017-08-18 00:00:00.000000,2018-03-16 00:00:00.000000
104,2,25,Luiz Felipe Cavalcante,Mecânico,1998-06-25,2016-09-11,22741.829996673703,2016-09-11 00:00:00.000000,2016-12-11 00:00:00.000000
105,5,39,Bruna da Rocha,Piloto,1994-03-11,2016-06-21,10671.600712484329,2016-06-21 00:00:00.000000,2016-12-20 00:00:00.000000
106,5,4,Srta. Ana Lívia da Mata,Comissário,1978-10-15,2024-10-24,19550.506423719773,2024-10-24 00:00:00.000000,2024-12-06 00:00:00.000000
107,7,69,Lavínia Ramos,Comissário,2001-08-27,2017-10-23,24628.126220494723,2017-10-23 00:00:00.000000,2018-02-22 00:00:00.000000
108,3,21,Carolina Correia,Mecânico,2005-10-19,2023-08-22,15218.478473136276,2023-08-22 00:00:00.000000,2024-04-08 00:00:00.000000
109,5,75,Breno Silveira,Copiloto,1965-11-29,2016-06-14,8491.599851247413,2016-06-14 00:00:00.000000,2017-01-06 00:00:00.000000
110,3,34,Asafe Pereira,Agente de Solo,1969-09-03,2021-05-01,24799.152559165494,2021-05-01 00:00:00.000000,2021-05-15 00:00:00.000000
111,8,55,Gabriel Cavalcante,Piloto,2001-09-19,2021-09-13,7785.536957879556,2021-09-13 00:00:00.000000,2022-01-23 00:00:00.000000
112,1,70,Maria Luiza da Mata,Comissário,1991-10-06,2023-06-20,6148.658225023138,2023-06-20 00:00:00.000000,2024-04-11 00:00:00.000000
113,1,45,Cecília Sales,Mecânico,1978-03-28,2018-06-15,8793.738897248877,2018-06-15 00:00:00.000000,2018-09-03 00:00:00.000000
114,1,56,Ágatha Moraes,Mecânico,1990-10-19,2016-04-09,6331.141971804915,2016-04-09 00:00:00.000000,2016-06-12 00:00:00.000000
115,2,35,Luara Martins,Mecânico,1966-10-24,2024-06-06,20414.5087883624,2024-06-06 00:00:00.000000,2024-08-09 00:00:00.000000
116,1,7,Oliver Borges,Agente de Solo,1998-09-10,2025-02-07,16803.509531203577,2025-02-07 00:00:00.000000,2025-04-07 00:00:00.000000
117,3,71,Luigi Pacheco,Comissário,1997-05-03,2019-06-09,18098.833209612727,2019-06-09 00:00:00.000000,2019-09-26 00:00:00.000000
118,2,65,Clarice Farias,Agente de Solo,1993-05-01,2017-08-31,18739.39981873628,2017-08-31 00:00:00.000000,2017-12-18 00:00:00.000000
119,6,60,Luiza Câmara,Mecânico,1995-10-18,2022-05-16,4709.280863953791,2022-05-16 00:00:00.000000,2022-11-24 00:00:00.000000
120,2,73,Anthony Gabriel Sousa,Mecânico,1999-05-09,2025-04-23,18744.47652666128,2025-04-23 00:00:00.000000,2025-09-22 00:00:00.000000
121,7,21,Vinícius Aparecida,Mecânico,1976-01-12,2017-07-09,15126.424476679858,2017-07-09 00:00:00.000000,2017-12-17 00:00:00.000000
122,2,9,Cecília Oliveira,Mecânico,1971-11-05,2018-02-22,19739.73165248229,2018-02-22 00:00:00.000000,2018-11-11 00:00:00.000000
123,2,47,Sophie Jesus,Agente de Solo,1981-04-24,2018-03-10,7550.991088909428,2018-03-10 00:00:00.000000,2018-08-27 00:00:00.000000
124,5,22,Davi Campos,Mecânico,2000-04-12,2025-01-21,21736.292251676256,2025-01-21 00:00:00.000000,2025-06-07 00:00:00.000000
125,3,47,Eduardo Carvalho,Mecânico,1982-03-11,2024-01-05,11818.014079245328,2024-01-05 00:00:00.000000,2024-08-16 00:00:00.000000
126,7,80,Liz Silveira,Mecânico,1976-03-04,2016-05-25,24835.197312039072,2016-05-25 00:00:00.000000,2016-08-01 00:00:00.000000
127,1,12,Arthur Gabriel Fernandes,Mecânico,1965-06-29,2018-08-18,3124.335955063207,2018-08-18 00:00:00.000000,2019-04-26 00:00:00.000000
128,3,6,Maria Vitória Peixoto,Comissário,1982-02-13,2024-07-01,20847.67996443245,2024-07-01 00:00:00.000000,2024-11-25 00:00:00.000000
129,1,37,Thomas Vieira,Comissário,1993-03-24,2023-07-16,23202.600589253954,2023-07-16 00:00:00.000000,2023-11-19 00:00:00.000000
130,2,26,Maria Flor Gomes,Comissário,1996-04-27,2024-05-21,10936.725307874643,2024-05-21 00:00:00.000000,2024-08-04 00:00:00.000000
131,4,51,Srta. Maria Isis Moreira,Comissário,1965-02-10,2017-07-14,13241.747435004396,2017-07-14 00:00:00.000000,2018-01-14 00:00:00.000000
132,4,79,Letícia Vieira,Comissário,2001-02-08,2023-12-27,13301.119533421095,2023-12-27 00:00:00.000000,2024-03-03 00:00:00.000000
133,4,44,Sr. Kevin Machado,Agente de Solo,1965-05-02,2017-01-10,11872.892776347764,2017-01-10 00:00:00.000000,2017-09-30 00:00:00.000000
134,5,7,Stephany Caldeira,Mecânico,1989-01-23,2018-12-23,20366.877244665673,2018-12-23 00:00:00.000000,2019-02-20 00:00:00.000000
135,8,69,Sr. Bryan Silva,Mecânico,1997-01-20,2018-05-01,6766.410868753768,2018-05-01 00:00:00.000000,2018-06-10 00:00:00.000000
136,7,77,Yago Nunes,Agente de Solo,1965-06-08,2018-02-18,17964.633205130347,2018-02-18 00:00:00.000000,2018-05-19 00:00:00.000000
137,4,46,Luiz Otávio da Cruz,Agente de Solo,1988-10-23,2025-07-31,18447.129066145884,2025-07-31 00:00:00.000000,2025-09-16 00:00:00.000000
138,8,37,Isabel Oliveira,Mecânico,1997-02-25,2023-04-06,3783.8898111972144,2023-04-06 00:00:00.000000,2023-08-27 00:00:00.000000
139,2,11,Yasmin Cardoso,Comissário,1974-07-06,2025-01-04,17978.87423453564,2025-01-04 00:00:00.000000,2025-09-18 00:00:00.000000
140,5,16,Sra. Laís Ramos,Copiloto,1978-04-19,2022-12-15,17120.73366578172,2022-12-15 00:00:00.000000,2023-03-06 00:00:00.000000
141,5,78,Davi Marques,Mecânico,1970-09-07,2022-02-25,6942.621253020249,2022-02-25 00:00:00.000000,2022-07-23 00:00:00.000000
142,6,74,Rafael Sampaio,Copiloto,1998-12-21,2020-08-07,17890.995934431852,2020-08-07 00:00:00.000000,2021-01-24 00:00:00.000000
143,6,10,Dr. Gustavo Cirino,Comissário,2001-02-27,2020-03-28,16906.040976467237,2020-03-28 00:00:00.000000,2020-04-09 00:00:00.000000
144,5,9,Maria Clara Rezende,Copiloto,1979-06-22,2020-12-08,12000.217151792416,2020-12-08 00:00:00.000000,2021-07-13 00:00:00.000000
145,4,46,Srta. Anna Liz da Rocha,Piloto,1996-10-30,2023-09-07,11289.341158605353,2023-09-07 00:00:00.000000,2024-04-14 00:00:00.000000
146,7,12,Evelyn Silveira,Agente de Solo,1975-01-27,2017-05-01,5641.466410548957,2017-05-01 00:00:00.000000,2018-01-16 00:00:00.000000
147,2,58,Sra. Bella Aragão,Comissário,1980-05-07,2019-05-25,16397.58627303008,2019-05-25 00:00:00.000000,2020-03-11 00:00:00.000000
148,1,75,Isabel da Costa,Copiloto,1973-09-19,2019-04-13,21078.996309739345,2019-04-13 00:00:00.000000,2019-06-07 00:00:00.000000
149,5,36,Lorenzo da Mota,Copiloto,2001-12-18,2016-10-25,3915.9786325177365,2016-10-25 00:00:00.000000,2017-06-03 00:00:00.000000
150,2,79,Dr. Davi Montenegro,Mecânico,2005-09-25,2025-08-30,20787.53323911967,2025-08-30 00:00:00.000000,2025-11-25 22:51:33.891089
151,7,15,Eloá Vargas,Comissário,2000-01-20,2023-02-28,5749.296110324073,2023-02-28 00:00:00.000000,2023-09-12 00:00:00.000000
152,1,65,Gabriel da Costa,Comissário,1969-05-17,2022-03-26,3113.4107989720874,2022-03-26 00:00:00.000000,2022-08-10 00:00:00.000000
153,6,36,Yago Pires,Piloto,1990-06-28,2022-11-18,18714.91547522483,2022-11-18 00:00:00.000000,2023-07-01 00:00:00.000000
154,4,24,Maria Isis Pinto,Comissário,1988-01-25,2019-02-26,4578.0132866153945,2019-02-26 00:00:00.000000,2019-06-01 00:00:00.000000
155,5,25,Ravi Ramos,Agente de Solo,1986-05-06,2016-12-30,6746.218280981773,2016-12-30 00:00:00.000000,2017-02-17 00:00:00.000000
156,8,26,Dra. Ana Liz Gonçalves,Comissário,2003-11-09,2018-08-26,22986.340158410232,2018-08-26 00:00:00.000000,2018-09-03 00:00:00.000000
157,5,9,Cauê Farias,Copiloto,1982-10-26,2016-01-27,8531.614308425174,2016-01-27 00:00:00.000000,2016-11-05 00:00:00.000000
158,4,3,Calebe Pimenta,Piloto,1989-08-17,2017-05-07,17649.52059491588,2017-05-07 00:00:00.000000,2017-10-31 00:00:00.000000
159,4,8,Lucas Fernandes,Mecânico,1996-03-29,2022-06-07,21270.437765801766,2022-06-07 00:00:00.000000,2023-03-13 00:00:00.000000
160,8,76,Carolina Moura,Comissário,1967-11-20,2023-04-16,19640.32046976581,2023-04-16 00:00:00.000000,2023-10-24 00:00:00.000000
161,4,67,Natália Dias,Piloto,1988-08-17,2019-03-07,12175.870489687326,2019-03-07 00:00:00.000000,2019-03-10 00:00:00.000000
162,5,29,Lívia Rios,Mecânico,1966-07-04,2019-01-08,11787.990477360448,2019-01-08 00:00:00.000000,2019-04-07 00:00:00.000000
163,2,25,Allana Jesus,Copiloto,1978-03-06,2022-08-31,3498.8431072452254,2022-08-31 00:00:00.000000,2023-02-01 00:00:00.000000
164,7,9,Alícia Campos,Agente de Solo,2005-04-08,2024-05-06,22199.944660991718,2024-05-06 00:00:00.000000,2024-10-30 00:00:00.000000
165,4,80,Camila Pacheco,Comissário,2000-07-05,2020-09-24,4986.972645049214,2020-09-24 00:00:00.000000,2020-12-03 00:00:00.000000
166,1,13,Lucas Câmara,Comissário,1986-03-17,2025-08-28,20409.60006575171,2025-08-28 00:00:00.000000,2025-11-25 22:51:33.891843
167,5,73,Dr. Eduardo Cavalcante,Agente de Solo,1984-09-01,2022-01-31,18111.089675374693,2022-01-31 00:00:00.000000,2022-10-12 00:00:00.000000
168,7,74,Sabrina Brito,Comissário,1984-11-13,2019-11-20,4521.525359160513,2019-11-20 00:00:00.000000,2020-07-15 00:00:00.000000
169,6,37,Otávio Azevedo,Agente de Solo,1975-12-08,2020-04-21,3089.2133704049766,2020-04-21 00:00:00.000000,2020-11-18 00:00:00.000000
170,6,40,Leonardo das Neves,Comissário,1970-01-02,2024-11-12,8622.918286905202,2024-11-12 00:00:00.000000,2024-12-16 00:00:00.000000
171,1,25,Yasmin Vasconcelos,Agente de Solo,1992-01-20,2022-10-21,15726.318044386275,2022-10-21 00:00:00.000000,2023-02-15 00:00:00.000000
172,8,48,Matheus da Mota,Copiloto,1983-08-08,2019-08-10,19789.0685538952,2019-08-10 00:00:00.000000,2019-09-25 00:00:00.000000
173,6,23,Isaac Mendonça,Mecânico,1987-11-22,2020-08-28,9223.693713130382,2020-08-28 00:00:00.000000,2021-04-29 00:00:00.000000
174,1,9,Hadassa Nogueira,Agente de Solo,2000-03-15,2019-01-03,17083.624707280745,2019-01-03 00:00:00.000000,2019-08-26 00:00:00.000000
175,1,75,Ana Julia Carvalho,Copiloto,1978-11-29,2018-05-25,17102.65576653976,2018-05-25 00:00:00.000000,2019-01-01 00:00:00.000000
176,1,55,Lorenzo Rocha,Mecânico,1965-06-11,2016-07-22,10656.779298024874,2016-07-22 00:00:00.000000,2016-07-27 00:00:00.000000
177,3,20,Sra. Sophia Gonçalves,Comissário,1998-10-12,2025-10-20,22436.44756106189,2025-10-20 00:00:00.000000,2025-11-25 22:51:33.892346
178,5,52,Esther Barros,Piloto,1996-01-04,2019-04-22,3512.2741857134756,2019-04-22 00:00:00.000000,2019-09-25 00:00:00.000000
179,7,21,Dr. Daniel Caldeira,Comissário,2000-02-25,2023-04-05,11044.846368129733,2023-04-05 00:00:00.000000,2023-06-14 00:00:00.000000
180,6,64,Cauê Marques,Piloto,2003-11-05,2017-01-20,12627.134718799904,2017-01-20 00:00:00.000000,2017-10-25 00:00:00.000000
